@relation herramientas
@attribute 'areaContorno' numeric
@attribute 'perimetroContorno' numeric
@attribute 'anchoRectangulo' numeric
@attribute 'largoRectangulo' numeric
@attribute 'radioCirculo' numeric
@attribute 'areaTriangulo' numeric
@attribute 'lenHull' numeric
@attribute 'lenDefects' numeric
@attribute 'areaRotated' numeric
@attribute 'class' { Martillo, Cutter, PinzasPunta, Nivelador, Desarmador, Espatula, Tijeras, PinzasMecanico }
@data
484564.5,8029.329,1081,1785,959,869894.25,64,57,1243615.0429,PinzasPunta
1191418.5,7716.287,2659,1155,1339,2339585.375,37,29,1256146.7987,Nivelador
541381.5,4853.8909,864,1535,800,776579.5,80,75,1135873.4855,Tijeras
1025125.0,4482.3976,1288,1461,730,1799277.5,79,72,1099204.1936,Espatula
357439.0,5105.1407,1606,560,815,510719.5,52,50,495252.0977,Cutter
551075.0,8748.2823,1046,1638,896,1056638.0,88,84,984788.9327,PinzasMecanico
543091.0,4610.6756,1565,724,785,766530.3125,69,64,1104418.6297,Tijeras
437380.5,8267.0935,1576,1662,1107,643622.0,49,44,783931.3936,Desarmador
909714.0,4359.1487,1119,1310,697,1610357.0,82,75,984522.0856,Espatula
1051516.5,9032.2591,1700,1867,1034,2151013.0,100,94,2529708.7166,Martillo
562531.5,7918.5309,666,1893,955,925575.9531,61,59,1257076.0611,PinzasPunta
693150.0,10402.977,1803,808,921,1151333.0,75,70,1112962.0249,PinzasMecanico
297422.5,4050.6218,1517,694,794,425583.75,49,43,399580.9852,Cutter
953411.0,4889.7803,1196,1376,709,1725408.5625,84,77,1010087.1632,Espatula
582170.5,8139.7857,699,1900,957,927732.0625,49,45,1317158.3975,PinzasPunta
557231.0,8822.9219,1430,1591,969,949179.5,58,53,1289734.5682,PinzasPunta
342634.0,5022.9763,1094,1323,808,495713.0,41,38,463781.7392,Cutter
919781.5,3945.2712,807,1217,695,1662775.25,83,79,964582.684,Espatula
1061279.0,8796.9097,1825,1623,1030,2153991.375,94,89,2521870.8593,Martillo
331935.5,4397.1172,282,1606,802,460833.0,46,41,449127.2144,Cutter
337877.0,4601.4208,1619,284,810,485880.0,52,48,457834.7736,Cutter
981464.5,4246.6236,844,1254,708,1770557.5,87,81,1031546.6259,Espatula
600544.0,8478.2924,691,1930,973,965821.25,57,52,1330451.3599,PinzasPunta
1248230.5,6629.8321,1157,2650,1333,2304042.25,50,42,1297321.8283,Nivelador
664056.5,9282.7058,1669,1049,910,1115680.8359,67,63,1053124.6067,PinzasMecanico
319586.5,5162.9002,1353,998,800,467567.5,42,36,441176.3671,Cutter
431805.0,6283.2463,2192,346,1095,629902.25,57,53,743874.5805,Desarmador
497978.0,8137.464,1830,1424,1112,715886.5,50,45,926641.7974,Desarmador
503396.5,11378.7932,706,1798,912,1066025.5,83,78,1023621.2382,PinzasMecanico
497577.5,5290.8657,1023,1452,796,790857.0,55,51,1150363.5588,Tijeras
528292.0,4998.6635,1631,743,820,797979.5,83,78,1182658.4535,Tijeras
304555.0,3876.6938,256,1568,784,442443.0,47,42,395507.4652,Cutter
596090.0,9557.1372,1185,1791,972,939043.25,46,43,1361781.5267,PinzasPunta
457445.0,7277.9552,2113,771,1094,667531.5,57,51,784370.5283,Desarmador
551068.5,7417.5746,1669,1266,943,910152.6875,60,56,1264394.8768,PinzasPunta
1182274.0,6460.792,1781,2409,1316,2233651.0,48,42,1217819.7928,Nivelador
550515.0,8654.2924,965,1701,905,1060545.0,89,84,1041992.0011,PinzasMecanico
462568.5,8636.8336,1842,1374,1094,685944.5,62,56,843303.4814,Desarmador
1026985.0,7502.3715,1537,1796,991,1991129.5,102,96,2247849.8809,Martillo
1183479.5,6526.642,940,2665,1333,2281342.75,38,32,1229866.7745,Nivelador
330023.5,4611.3914,278,1610,805,494288.5,40,35,442469.6419,Cutter
959118.0,4332.2109,1410,1314,711,1709971.5,82,77,1021818.0916,Espatula
1268759.0,6651.1261,2704,499,1363,2471534.0,36,30,1327643.2528,Nivelador
496324.5,6636.9186,975,1452,787,765263.5,53,48,1121074.5796,Tijeras
328196.5,4432.6706,774,1471,786,465426.125,49,47,450762.5072,Cutter
447976.5,6515.8892,2003,1163,1112,669198.0,61,56,777242.8366,Desarmador
306485.0,4177.3052,986,1288,771,437683.5,44,37,416636.7172,Cutter
376800.5,12120.0118,1488,1304,905,1043676.75,92,86,1021365.7303,PinzasMecanico
519577.5,8290.1473,1693,1207,945,877568.5,61,56,1217680.2544,PinzasPunta
1086939.0,8384.2294,1922,1357,1029,2058752.5,109,103,2419848.3216,Martillo
913924.0,4237.015,1340,1314,696,1625480.0625,80,75,981208.8972,Espatula
519630.0,7530.9157,957,2047,1094,741702.0,58,52,889072.4125,Desarmador
921205.0,4153.5264,1104,1366,692,1676868.25,92,85,960944.5473,Espatula
552345.0,7545.3488,1325,1233,920,977757.0,75,72,942140.7459,PinzasMecanico
404457.5,5789.4182,1653,1511,1071,591038.375,67,59,707809.7252,Desarmador
292813.0,3975.8005,1460,774,783,418736.75,43,38,391742.9738,Cutter
455466.0,12116.3436,835,1748,897,1134741.3125,66,63,1031125.3907,PinzasMecanico
480921.0,8134.2781,401,2204,1101,697562.25,50,46,878169.4099,Desarmador
468362.0,6169.2564,2219,365,1109,674798.0,67,63,804709.9866,Desarmador
538571.5,5827.4586,1525,926,805,795469.5,79,73,1164351.0899,Tijeras
1040264.5,8555.0405,1956,1351,1018,2074239.5,100,95,2459021.7889,Martillo
570482.0,9246.39,677,1877,946,928477.0,55,53,1267714.387,PinzasPunta
1216150.0,6581.8068,1256,2566,1302,2278285.5,51,46,1265375.0345,Nivelador
1206134.0,7262.5119,2431,1872,1342,2315975.5,32,24,1296821.2376,Nivelador
504410.5,6306.6932,1236,1285,795,797682.5,78,75,1143693.5303,Tijeras
505868.5,6412.0331,2157,406,1079,706417.3438,58,56,867614.1437,Desarmador
482549.5,8257.0935,1441,1766,1079,693194.5,50,47,872797.8803,Desarmador
325071.0,5261.1083,1457,886,805,480832.0,47,43,434404.8961,Cutter
494859.0,5551.216,1363,1159,795,779911.0,59,55,1147186.6071,Tijeras
764167.5,7148.3989,1134,1658,918,1082404.4375,67,64,1095736.5562,PinzasMecanico
445062.5,3320.1912,885,808,497,619163.5,71,66,644799.3093,Tijeras
292041.0,3777.1749,1585,254,792,413047.25,42,39,397864.6313,Cutter
1061434.0,9141.9249,2020,1208,1028,2065402.0,100,93,2419458.5828,Martillo
604921.0,8404.5422,1391,1433,916,1035034.5,79,73,1044072.0658,PinzasMecanico
562172.0,6219.4901,1286,1332,829,846013.25,74,69,1232072.9041,Tijeras
943420.0,4285.4758,1388,1292,698,1683440.5,81,75,1004981.819,Espatula
551143.0,4429.3153,1569,884,819,798545.0,92,88,1177626.5119,Tijeras
1263104.0,6335.8591,2614,531,1325,2300928.5,58,52,1315990.7327,Nivelador
812527.5,7453.1583,1099,1684,917,1307167.5,64,61,1123874.6166,PinzasMecanico
345768.5,4903.5133,867,1466,801,500808.5,46,42,463722.0105,Cutter
608270.5,10107.2053,694,1913,962,960747.5,48,44,1303916.4322,PinzasPunta
316139.5,5089.6412,1546,568,803,568720.25,42,37,440599.4225,Cutter
943195.0,4314.2698,1291,1402,704,1715676.0,87,83,992209.9067,Espatula
473070.0,6307.8963,1874,1276,1072,663023.5,62,59,830873.4606,Desarmador
409714.0,11801.7406,869,1747,905,981956.25,76,73,997862.3898,PinzasMecanico
517131.5,7184.8354,1852,961,964,913771.1875,70,65,1272183.8338,PinzasPunta
349856.0,5041.5894,1574,581,819,499342.5,51,47,485363.3473,Cutter
1034584.0,8022.7533,1390,2040,1023,2002283.25,98,93,2378245.3016,Martillo
911170.0,4269.8594,1128,1349,681,1625569.25,82,78,974442.5482,Espatula
1046571.5,8558.0742,2040,1349,1020,2047451.0,106,98,2448166.6814,Martillo
1005473.5,7810.3846,1302,1908,1012,1962805.5,103,99,2345463.7337,Martillo
941737.0,4108.6129,1310,1378,706,1706056.0,87,80,996222.2454,Espatula
291021.5,4238.6403,1095,1272,793,406967.0,48,42,400192.7275,Cutter
730611.5,10750.7831,1402,1488,934,1284942.5,53,49,1120401.9403,PinzasMecanico
354618.0,5091.8636,1424,967,827,498557.0,41,38,500115.1596,Cutter
469123.0,6053.0352,1590,718,797,754823.25,65,60,1118803.503,Tijeras
1017375.0,7858.4447,1332,1977,989,1969381.5,84,80,2269970.5738,Martillo
1268256.5,6283.8641,2608,547,1324,2304392.5,61,56,1321448.6307,Nivelador
329949.0,4806.9275,895,1442,800,479379.5,45,42,451229.622,Cutter
1056595.5,8205.1869,1777,1710,1033,2068811.25,108,101,2437279.7192,Martillo
475168.5,5407.0423,1413,1068,796,758082.75,75,68,1106600.3037,Tijeras
527521.0,7959.2344,684,1931,970,918793.0,64,59,1275866.7644,PinzasPunta
391460.0,11120.3596,1803,639,905,1046222.5,94,91,1002878.0356,PinzasMecanico
1109504.5,8039.5359,1992,1211,1019,2133954.25,99,94,2380577.1785,Martillo
296954.0,3849.2825,1561,273,782,425117.25,42,35,396048.9237,Cutter
